,STATUS,PRICE,BED,BATH,ACRE LOT,FULL ADDRESS,STREET,CITY,STATE,HOUSE SIZE,ZIP
588350,for_sale,1225000.0,4.0,2.0,17.03,"320 # Us6 # US6, Milford, PA, 18337",320 # Us6 # US6,Milford,Pennsylvania,2896.0,18337
588351,for_sale,364000.0,4.0,3.0,0.45,"1115 Park Dr, East Stroudsburg, PA, 18302",1115 Park Dr,East Stroudsburg,Pennsylvania,2891.0,18302
588356,for_sale,249900.0,3.0,2.0,0.96,"19 US Highway 6 Hwy, Port Jervis, NY, 12771",19 US Highway 6 Hwy,Port Jervis,New York,1309.0,12771
588358,for_sale,269000.0,3.0,3.0,2.15,"152 Lakeview Drive Rd, Highland Lake, NY, 12743",152 Lakeview Drive Rd,Highland Lake,New York,1626.0,12743
588360,for_sale,399900.0,3.0,3.0,0.42,"Epic Ct Lot 202, East Stroudsburg, PA, 18302",Epic Ct Lot 202,East Stroudsburg,Pennsylvania,2101.0,18302
588361,for_sale,479900.0,4.0,3.0,0.35,"E Of Big Ridge Dr Lot 119, East Stroudsburg, PA, 18302",E Of Big Ridge Dr Lot 119,East Stroudsburg,Pennsylvania,2322.0,18302
588368,for_sale,349900.0,5.0,1.0,0.64,"12 Washington Beach Rd, Eldred, NY, 12732",12 Washington Beach Rd,Eldred,New York,1688.0,12732
588395,for_sale,190000.0,3.0,2.0,0.52,"79 W Oak St, Smallwood, NY, 12720",79 W Oak St,Smallwood,New York,2100.0,12720
588396,for_sale,165000.0,2.0,2.0,1.47,"306 Gold Key Rd, Milford, PA, 18337",306 Gold Key Rd,Milford,Pennsylvania,1956.0,18337
588397,for_sale,155000.0,3.0,1.0,0.23,"26 Orange St, Port Jervis, NY, 12771",26 Orange St,Port Jervis,New York,1200.0,12771
588398,for_sale,169000.0,2.0,2.0,0.28,"301 3rd St, Matamoras, PA, 18336",301 3rd St,Matamoras,Pennsylvania,1804.0,18336
588399,for_sale,475000.0,5.0,7.0,2.27,"1270 PA 402, Dingmans Ferry, PA, 18328",1270 PA 402,Dingmans Ferry,Pennsylvania,11700.0,18328
588400,for_sale,225000.0,2.0,1.0,0.41,"1207 Delaware Dr, Matamoras, PA, 18336",1207 Delaware Dr,Matamoras,Pennsylvania,1800.0,18336
